id,address,longitude,latitude,time,job_type
GND001,강남구 역삼동 101-1,127.033500,37.497800,13:05:12,normal
GND002,강남구 삼성동 45-3,127.056200,37.508900,14:22:45,emergency
GND003,강남구 청담동 12-9,127.052700,37.521300,13:45:10,normal
GND004,강남구 신사동 88-10,127.021400,37.520100,15:10:05,normal
GND005,강남구 역삼동 23-7,127.034800,37.498900,14:59:59,normal
GND006,강남구 대치동 5-2,127.067300,37.503700,13:20:33,normal
GND007,강남구 압구정동 9-1,127.028900,37.527200,14:05:02,emergency
GND008,강남구 논현동 7-14,127.023600,37.512500,13:55:44,normal
GND009,강남구 삼성동 102-8,127.058400,37.507100,14:11:21,normal
GND010,강남구 청담동 34-6,127.049900,37.521900,13:33:03,emergency
GND011,강남구 신사동 3-5,127.021900,37.520900,14:40:40,normal
GND012,강남구 역삼동 50-2,127.036100,37.500200,15:30:30,normal
GND013,강남구 대치동 21-11,127.068500,37.504800,13:15:55,normal
GND014,강남구 논현동 18-2,127.024800,37.511100,14:05:05,normal
GND015,강남구 압구정동 60-4,127.029700,37.526100,13:50:50,normal
GND016,강남구 삼성동 20-1,127.055500,37.506300,15:02:22,normal
GND017,강남구 청담동 77-3,127.053900,37.519900,14:48:48,normal
GND018,강남구 역삼동 9-9,127.032200,37.496500,13:25:25,normal
GND019,강남구 신사동 120-5,127.022300,37.519400,14:12:12,normal
GND020,강남구 대치동 88-7,127.066400,37.505900,13:40:00,normal
GND021,강남구 논현동 40-9,127.025900,37.513300,14:59:10,normal
GND022,강남구 삼성동 5-6,127.057800,37.506800,13:10:44,emergency
GND023,강남구 청담동 2-2,127.050200,37.522500,15:15:15,normal
GND024,강남구 역삼동 200-1,127.035900,37.501500,14:33:33,normal
GND025,강남구 압구정동 11-11,127.027700,37.525000,13:05:05,normal
GND026,강남구 신사동 55-2,127.020500,37.521700,14:20:20,normal
GND027,강남구 대치동 7-7,127.069100,37.502200,13:58:58,normal
GND028,강남구 논현동 99-3,127.026400,37.514400,13:30:30,normal
GND029,강남구 삼성동 88-18,127.059900,37.505600,14:07:07,normal
GND030,강남구 청담동 44-4,127.048300,37.523100,13:47:47,normal
GND031,강남구 역삼동 77-6,127.033900,37.499400,14:55:55,emergency
GND032,강남구 압구정동 6-2,127.026800,37.524200,13:38:38,normal
GND033,강남구 신사동 2-1,127.019900,37.522900,15:20:20,normal
GND034,강남구 대치동 150-10,127.070500,37.506500,13:12:12,normal
GND035,강남구 논현동 12-6,127.022900,37.515500,14:25:25,normal
GND036,강남구 삼성동 1-1,127.060200,37.504900,13:09:09,normal
GND037,강남구 청담동 90-2,127.051700,37.520500,13:58:01,normal
GND038,강남구 역삼동 150-8,127.037700,37.503400,14:02:02,normal
GND039,강남구 신사동 33-3,127.018800,37.521100,13:44:44,normal
GND040,강남구 압구정동 88-8,127.030900,37.526800,14:16:16,normal
GND041,강남구 대치동 33-9,127.065200,37.501100,15:45:45,normal
GND042,강남구 논현동 5-5,127.028200,37.512000,13:29:29,normal
GND043,강남구 삼성동 200-2,127.061500,37.502300,14:49:49,normal
GND044,강남구 청담동 7-7,127.054600,37.518200,13:56:56,normal
GND045,강남구 역삼동 11-11,127.031200,37.495800,13:22:22,normal
GND046,강남구 신사동 99-9,127.017500,37.523300,14:38:38,normal
GND047,강남구 압구정동 3-3,127.025300,37.527900,14:58:58,normal
GND048,강남구 논현동 77-7,127.027400,37.510700,13:16:16,normal
GND049,강남구 삼성동 150-5,127.062800,37.503100,14:00:00,normal
GND050,강남구 청담동 120-12,127.047200,37.519000,13:41:41,emergency
